GEOID,NAME,variable,B08121_001_estimate,B08121_001_moe,Total_Worked_At_Home_estimate,Total_Worked_At_Home_021_moe,Total_Married_Couple_Family_estimate,Total_Married_Couple_Family_moe,Total_PopOneRace_White_estimate,Total_PopOneRace_White_moe
42101030900,"Census Tract 309, Philadelphia County, Pennsylvania",B08121_001,27584,2719,39,37,559,114,1232,445
42101031000,"Census Tract 310, Philadelphia County, Pennsylvania",B08121_001,24982,2773,27,35,1212,199,3408,697
42101031101,"Census Tract 311.01, Philadelphia County, Pennsylvania",B08121_001,22722,7112,54,58,441,114,1607,399
42101031102,"Census Tract 311.02, Philadelphia County, Pennsylvania",B08121_001,29527,5434,0,10,269,102,819,253
42101031200,"Census Tract 312, Philadelphia County, Pennsylvania",B08121_001,29055,7302,27,33,632,100,1016,271
42101031300,"Census Tract 313, Philadelphia County, Pennsylvania",B08121_001,29323,4824,0,14,753,156,2436,576
42101031401,"Census Tract 314.01, Philadelphia County, Pennsylvania",B08121_001,21161,2186,0,14,1024,162,2214,528
42101031402,"Census Tract 314.02, Philadelphia County, Pennsylvania",B08121_001,19974,2343,14,15,658,107,2279,383
42101031501,"Census Tract 315.01, Philadelphia County, Pennsylvania",B08121_001,30481,9423,31,55,1016,192,5275,678
42101031502,"Census Tract 315.02, Philadelphia County, Pennsylvania",B08121_001,31715,3421,64,77,584,111,2665,288
42101031600,"Census Tract 316, Philadelphia County, Pennsylvania",B08121_001,30272,3880,51,78,690,183,4095,758
42101031700,"Census Tract 317, Philadelphia County, Pennsylvania",B08121_001,31503,2105,63,76,895,216,2485,493
42101031800,"Census Tract 318, Philadelphia County, Pennsylvania",B08121_001,29225,5162,10,15,470,119,1445,281
42101031900,"Census Tract 319, Philadelphia County, Pennsylvania",B08121_001,26503,7432,62,44,342,102,2588,467
42101032000,"Census Tract 320, Philadelphia County, Pennsylvania",B08121_001,33625,9356,46,42,864,141,4872,536
42101032100,"Census Tract 321, Philadelphia County, Pennsylvania",B08121_001,31807,3329,33,41,355,65,2331,422
42101032300,"Census Tract 323, Philadelphia County, Pennsylvania",B08121_001,34046,4696,0,10,274,75,1984,298
42101032500,"Census Tract 325, Philadelphia County, Pennsylvania",B08121_001,31948,7334,101,83,736,204,3736,460
42101032600,"Census Tract 326, Philadelphia County, Pennsylvania",B08121_001,32598,8496,50,80,886,180,4108,649
42101032900,"Census Tract 329, Philadelphia County, Pennsylvania",B08121_001,35500,9897,23,31,235,78,2233,412
42101033000,"Census Tract 330, Philadelphia County, Pennsylvania",B08121_001,31911,5031,80,71,829,191,5616,686
42101033101,"Census Tract 331.01, Philadelphia County, Pennsylvania",B08121_001,37523,6328,17,31,779,112,4257,447
42101033102,"Census Tract 331.02, Philadelphia County, Pennsylvania",B08121_001,40369,4250,64,64,423,104,3137,409
42101033200,"Census Tract 332, Philadelphia County, Pennsylvania",B08121_001,40030,5870,30,23,525,61,2360,217
